index,init_x,init_y,init_z,target_x,target_y,target_z,init_distance,target_width_diameter,target_accuracy,movement_time,episode_successful,dist_to_target
273,0.550631175,0.090453351,0.161250495,0.55,0.072613603,0.130617116,0.035455027,0.01,0,0.08,TRUE,0.01819811
274,0.550236306,0.082133179,0.146124957,0.55,0.070060903,0.104776536,0.043075371,0.01,0,0.09,TRUE,0.02058703
275,0.549946866,0.073406946,0.125089763,0.55,0.071200625,0.07899464,0.046147926,0.01,0,0.09,TRUE,0.02262515
276,0.550830832,0.071522414,0.101602241,0.55,0.075355364,0.057233051,0.044542191,0.01,0,0.09,TRUE,0.02018345
277,0.550766131,0.074443149,0.077381316,0.55,0.082308402,0.039429413,0.038765914,0.01,0,0.08,TRUE,0.01681774
278,0.550090181,0.077722472,0.055609575,0.55,0.091122438,0.028359016,0.03036709,0.01,0,0.08,TRUE,0.01278829
279,0.549320296,0.085242643,0.039695087,0.55,0.100672453,0.025018844,0.021305707,0.01,0,0.08,TRUE,0.00883192
280,0.549528003,0.093172129,0.029658374,0.55,0.110395727,0.029646924,0.017230068,0.01,0,0.07,TRUE,0.00987811
281,0.548223601,0.101206744,0.026487164,0.55,0.118721553,0.041396274,0.023069583,0.01,0,0.07,TRUE,0.01346395
282,0.54623895,0.111948384,0.03038461,0.55,0.125614419,0.06095663,0.033697989,0.01,0,0.08,TRUE,0.01863832
283,0.546643688,0.122504423,0.042888697,0.55,0.129314449,0.084058101,0.041863601,0.01,0,0.07,TRUE,0.02296834
284,0.54659145,0.130561557,0.061378352,0.55,0.129838466,0.10777252,0.046524831,0.01,0,0.08,TRUE,0.0231686
285,0.54638189,0.136332346,0.085828893,0.55,0.12707702,0.132291157,0.047513091,0.01,0,0.1,TRUE,0.02270989
286,0.548691643,0.135752119,0.111344319,0.55,0.121426165,0.152495205,0.043592891,0.01,0,0.12,TRUE,0.02047882
287,0.553227139,0.131537206,0.134981365,0.55,0.113637359,0.166802996,0.036652901,0.01,0,0.16,TRUE,0.01776478
288,0.55696078,0.124633335,0.154710709,0.55,0.104550139,0.174132324,0.028792123,0.01,0,0.16,TRUE,0.01123187
289,0.551770548,0.112871348,0.166799013,0.55,0.094998362,0.173950305,0.019331825,0.01,0,0.32,TRUE,0.00970431
290,0.545487469,0.102959163,0.170719782,0.55,0.085950061,0.16626647,0.018152257,0.01,0,0.08,TRUE,0.01140277
291,0.546666377,0.096830204,0.166996255,0.55,0.077418252,0.149375138,0.026428028,0.01,0,0.06,TRUE,0.0170953
292,0.549801215,0.090455335,0.160431544,0.55,0.072403855,0.129416488,0.035886337,0.01,0,0.08,TRUE,0.01948967
293,0.550439158,0.082583071,0.146030875,0.55,0.070062676,0.104845508,0.043048666,0.01,0,0.09,TRUE,0.02293399
294,0.549518228,0.075722447,0.127064932,0.55,0.070939492,0.081377623,0.045939515,0.01,0,0.08,TRUE,0.02316631
295,0.549752289,0.071755666,0.104528228,0.55,0.074700174,0.059695006,0.044930494,0.01,0,0.09,TRUE,0.0193321
296,0.549819447,0.073057054,0.078956301,0.55,0.081723314,0.040525071,0.039396652,0.01,0,0.08,TRUE,0.01767882
297,0.550419209,0.077298393,0.05763603,0.55,0.090176208,0.029135115,0.031278044,0.01,0,0.09,TRUE,0.01197534
298,0.551117179,0.084895383,0.039824994,0.55,0.10049042,0.025010022,0.021539189,0.01,0,0.08,TRUE,0.00883211
299,0.549931406,0.092518693,0.028811742,0.55,0.110355611,0.029609956,0.017854901,0.01,0,0.08,TRUE,0.00935262
300,0.548032655,0.102222573,0.025432059,0.55,0.119414771,0.042823373,0.024533649,0.01,0,0.08,TRUE,0.01339157
301,0.546798293,0.113202538,0.03140009,0.55,0.126192549,0.063432395,0.034713972,0.01,0,0.08,TRUE,0.01777132
302,0.546636104,0.123880845,0.046136148,0.55,0.129647827,0.088541826,0.042928026,0.01,0,0.08,TRUE,0.02201137
303,0.547415358,0.13017865,0.066689179,0.55,0.12953001,0.113223675,0.046610734,0.01,0,0.09,TRUE,0.02247503
304,0.547400137,0.134427829,0.091443433,0.55,0.126082804,0.137054633,0.046441149,0.01,0,0.1,TRUE,0.0225464
305,0.549053311,0.134558983,0.116183636,0.55,0.120030811,0.155832707,0.042237577,0.01,0,0.12,TRUE,0.02051419
306,0.552158437,0.131498686,0.13896081,0.55,0.112130422,0.168595411,0.035468269,0.01,0,0.15,TRUE,0.01704606
307,0.556801308,0.12290324,0.157270365,0.55,0.10300355,0.174623165,0.027264906,0.01,0,0.19,TRUE,0.01057674
308,0.550531229,0.111892602,0.16891615,0.55,0.093400049,0.173162518,0.018981264,0.01,0,0.14,TRUE,0.00906979
309,0.547826872,0.101507072,0.169725259,0.55,0.084526497,0.164253925,0.017972142,0.01,0,0.07,TRUE,0.01178161
310,0.547694662,0.095789227,0.166831275,0.55,0.076544427,0.146759764,0.027902374,0.01,0,0.07,TRUE,0.01744457
311,0.549899606,0.089825684,0.158069539,0.55,0.071768258,0.125368379,0.037355677,0.01,0,0.08,TRUE,0.02060165
312,0.550517608,0.084504748,0.141552995,0.55,0.070000001,0.100023567,0.043992601,0.01,0,0.09,TRUE,0.02159096
313,0.548456686,0.075862048,0.120746116,0.55,0.071721702,0.074957802,0.046001021,0.01,0,0.09,TRUE,0.02218471
314,0.548744232,0.071642636,0.097106803,0.55,0.076434073,0.053588317,0.043799468,0.01,0,0.09,TRUE,0.01876207
315,0.55085724,0.074198796,0.072197026,0.55,0.084114555,0.036377449,0.037176596,0.01,0,0.09,TRUE,0.01533756
316,0.55025602,0.078016118,0.050448133,0.55,0.093519377,0.026770842,0.028302486,0.01,0,0.08,TRUE,0.01187843
317,0.548981074,0.085139761,0.035127933,0.55,0.103144989,0.025413262,0.020484172,0.01,0,0.07,TRUE,0.00896319
318,0.54827262,0.094408274,0.026425546,0.55,0.112760673,0.032123033,0.019293931,0.01,0,0.06,TRUE,0.01141381
319,0.54778628,0.103974092,0.025182531,0.55,0.120591278,0.045456482,0.026307119,0.01,0,0.07,TRUE,0.01557134
320,0.547825369,0.11431772,0.031371733,0.55,0.126424076,0.064488714,0.03532743,0.01,0,0.07,TRUE,0.02027301
321,0.54642426,0.124639004,0.044613538,0.55,0.129555345,0.087134932,0.042953758,0.01,0,0.07,TRUE,0.02401398
322,0.545575066,0.132400749,0.063704292,0.55,0.129698013,0.11061486,0.047196253,0.01,0,0.08,TRUE,0.02210106
323,0.547005393,0.133811078,0.089107372,0.55,0.126529769,0.135015297,0.046578135,0.01,0,0.1,TRUE,0.02095813
324,0.548322275,0.132279123,0.114931141,0.55,0.120342879,0.155123003,0.041960392,0.01,0,0.12,TRUE,0.01989961
325,0.552407151,0.13085986,0.138401957,0.55,0.112288745,0.168419055,0.03537947,0.01,0,0.17,TRUE,0.01612195
326,0.555196804,0.122429171,0.157013692,0.55,0.103024583,0.174617855,0.02671051,0.01,0,0.16,TRUE,0.01027962
327,0.550907426,0.109966918,0.167091165,0.55,0.093420888,0.173174248,0.017652151,0.01,0,0.22,TRUE,0.0090329
328,0.547806869,0.10164394,0.170146879,0.55,0.084585629,0.164342694,0.018151705,0.01,0,0.09,TRUE,0.01328977
329,0.548239735,0.097732666,0.165164241,0.55,0.077266652,0.148938411,0.02617697,0.01,0,0.06,TRUE,0.01723279
330,0.549606856,0.091422259,0.158758449,0.55,0.072145264,0.127851582,0.036427895,0.01,0,0.08,TRUE,0.02041608
331,0.549611594,0.084034821,0.144443865,0.55,0.070031827,0.103453822,0.043317644,0.01,0,0.09,TRUE,0.02137858
332,0.549440655,0.076311934,0.123881524,0.55,0.071297353,0.078182853,0.045976379,0.01,0,0.09,TRUE,0.02230354
333,0.550571783,0.071841147,0.100472434,0.55,0.075617816,0.056302952,0.044334335,0.01,0,0.08,TRUE,0.02128738
334,0.548908057,0.073495414,0.077456098,0.55,0.082241754,0.039551433,0.038915992,0.01,0,0.09,TRUE,0.01563601
335,0.549330285,0.077144434,0.05431807,0.55,0.091620157,0.027985321,0.030056758,0.01,0,0.09,TRUE,0.0115038
336,0.550110867,0.085395762,0.037659105,0.55,0.101852281,0.025143093,0.020675587,0.01,0,0.08,TRUE,0.00788612
337,0.550360726,0.094593663,0.028204659,0.55,0.112201225,0.031483117,0.017913812,0.01,0,0.07,TRUE,0.00997216
338,0.548556873,0.10388615,0.02617079,0.55,0.120749326,0.045832119,0.025942574,0.01,0,0.07,TRUE,0.01564082
339,0.547398796,0.113718364,0.032104978,0.55,0.126483352,0.06476578,0.035163037,0.01,0,0.07,TRUE,0.01948404
340,0.545948419,0.123084872,0.046013108,0.55,0.129615174,0.088025686,0.042709681,0.01,0,0.08,TRUE,0.02064153
341,0.545907779,0.131621544,0.067893601,0.55,0.129415425,0.114733633,0.04707018,0.01,0,0.08,TRUE,0.0248138
